Date,ticker,Open,Close,High,Low,Volume,value,end,SMA_10,EMA_10,SMA_50,EMA_50,MACD_signal,MACD_diff,ATR_14,OBV,VWAP,rolling_std_20,Williams_%R_hourly,Price_deviation_SMA50_hourly,HourlyReturn,Momentum_5_hourly,RollingVol_10_hourly,RelativeVolume_hourly,RSI
2025-04-17 22:00:00,ALRS,52.2,52.28,52.28,51.9,964300.0,50237287.400000006,2025-04-17 22:59:59,,52.28,,52.28,0.0,0.0,,0.0,,,,,,,,,
2025-04-17 23:00:00,ALRS,52.27,52.33,52.46,52.01,1409240.0,73683684.30000001,2025-04-17 23:59:54,,52.28909090909091,,52.281960784313725,0.000797720797720558,0.003190883190882232,,1409240.0,,,,,0.09563886763579443,,,,
2025-04-18 06:00:00,ALRS,51.95,51.95,51.95,51.95,57260.0,2974657.0,2025-04-18 06:59:59,,52.22743801652892,,52.26894271434064,-0.004010876535093644,-0.019234389331256808,,1351980.0,,,,,-0.7261609019682647,,,,
2025-04-18 07:00:00,ALRS,51.95,51.61,52.23,51.51,2627490.0,136360392.19999993,2025-04-18 07:59:59,,52.115176558978206,,52.24310182358219,-0.01749669066724181,-0.05394325652859265,,-1275510.0,,,,,-0.654475457170367,,,,
2025-04-18 08:00:00,ALRS,51.62,51.77,51.86,51.56,977210.0,50525241.80000002,2025-04-18 08:59:59,,52.05241718461853,,52.22454881089269,-0.03312168247257415,-0.06249996722132937,,-298300.0,,,,,0.310017438480914,,,,
2025-04-18 09:00:00,ALRS,51.81,51.71,52.08,51.6,1018050.0,52776168.000000015,2025-04-18 09:59:59,,51.99015951468788,,52.204370426151804,-0.050150155454272906,-0.06811389192679498,,-1316350.0,,,,,-0.11589723778250294,-0.5700000000000003,,,
2025-04-18 10:00:00,ALRS,51.69,51.61,52.24,51.5,3506640.0,181684175.2,2025-04-18 10:59:59,,51.92103960292645,,52.18106178198899,-0.0686467818022784,-0.07398650539202195,,-4822990.0,,,,,-0.19338619222587505,-0.7199999999999989,,,
2025-04-18 11:00:00,ALRS,51.62,51.29,51.72,51.21,2762890.0,142158646.79999998,2025-04-18 11:59:59,,51.806305129667095,,52.146118182695304,-0.0920429477239091,-0.09358466368652273,,-7585880.0,,,,,-0.620034876961828,-0.6600000000000037,,,
2025-04-18 12:00:00,ALRS,51.28,51.04,51.57,51.04,1973260.0,101201375.6,2025-04-18 12:59:59,,51.66697692427307,,52.102740999060195,-0.12106240394485736,-0.11607782488379302,,-9559140.0,,,,,-0.48742444921037187,-0.5700000000000003,,,
2025-04-18 13:00:00,ALRS,51.04,50.99,51.27,50.87,2263570.0,115509267.59999996,2025-04-18 13:59:59,51.658,51.54389021076887,,52.05910409713627,-0.1526069768274262,-0.12617829153027527,,-11822710.0,,,,,-0.09796238244513811,-0.7800000000000011,,,
